"","Year","Human resources","Attractive research systems","Digitalisation","Finance and support","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability"
"1",2016,112.414,143.334,105.501,121.559,114.373,139.002,158.731,211.185,132.134,130.423,81.893,109.59
"2",2017,112.414,142.26,105.501,102.045,113.849,149.61,158.731,215.239,131.427,130.423,81.838,107.183
"3",2018,112.414,144.767,105.501,111.966,114.111,130.577,158.731,219.935,130.937,130.423,81.518,102.278
"4",2019,112.414,151.16,105.501,106.209,116.248,118.721,177.564,232.751,128.163,133.617,82.753,105.78
"5",2020,112.414,156.063,105.501,108.655,116.773,91.888,177.564,249.103,126.37,133.617,84.044,106.26
"6",2021,112.414,160.802,105.501,107.307,112.15,90.64,191.359,219.178,129.805,131.678,89.638,108.357
"7",2022,112.414,169.376,105.951,138.437,112.937,90.64,191.359,248.123,135.882,131.678,91.351,109.141
"8",2023,117.068,168.073,104.302,147.831,116.934,106.923,173.565,233.305,129.059,131.678,92.888,111.971
"9",2016,111.581,176.29,131.661,112.2,108.609,154.92,172.075,234.279,83.789,146.618,77.656,93.857
"10",2017,111.581,172.802,131.661,109.961,109.658,159.6,172.075,235.496,83.519,146.618,79.681,97.547
"11",2018,116.493,184.809,131.661,116.498,110.445,162.72,172.075,234.967,83.087,146.618,79.369,99.61
"12",2019,116.493,185.775,131.661,117.93,129.703,165.84,160.797,219.546,83.146,154.851,93.749,99.691
"13",2020,106.668,149.828,131.661,120.092,134.424,168.336,160.797,219.036,84.69,154.851,96.045,103.302
"14",2021,116.493,183.099,131.661,124.658,148.56,156.48,186.945,241.349,82.593,152.647,102.768,105.727
"15",2022,116.493,158.126,131.961,154.747,148.56,156.48,186.945,250.933,82.94,152.647,103.8,107.994
"16",2023,117.725,170.342,130.163,150.608,143.585,157.728,204.738,231.761,79.784,161.891,101.835,104.445
"17",2016,35.658,18.385,45.818,26.179,51.329,43.095,21.572,22.561,99.353,40.135,37.902,72.11
"18",2017,40.571,20.074,45.818,39.092,56.049,42.471,21.572,23.572,89.817,40.135,42.603,61.386
"19",2018,40.571,21.645,45.818,37.678,52.378,45.591,21.572,23.733,81.453,40.135,42.542,61.129
"20",2019,35.658,25.531,45.818,34.633,41.734,45.279,29.231,30.64,75.62,47.078,45.837,80.355
"21",2020,40.571,26.012,45.818,29.166,42.258,49.336,29.231,32.924,75.165,47.078,46.889,80.168
"22",2021,35.658,27.44,45.818,31.659,38.164,38.727,50.483,25.443,73.783,51.667,50.952,62.109
"23",2022,35.658,28.676,49.265,24.917,38.426,38.727,50.483,32.047,66.74,51.667,58.421,47.609
"24",2023,30.851,29.143,58.108,26.943,38.116,51.493,78.292,47.161,84.942,61.155,59.288,47.421
"25",2016,94.862,97.139,65.895,46.019,20.58,97.558,107.432,139.494,83.033,117.458,88.656,56.964
"26",2017,94.862,107.261,65.895,55.59,20.58,92.565,107.432,143.311,103.066,117.458,83.892,47.575
"27",2018,94.862,107.049,65.895,52.924,22.678,106.606,107.432,153.084,106.899,117.458,80.064,64.767
"28",2019,99.775,121.915,65.895,43.506,42.238,107.542,91.76,162.459,84.395,105.085,101.773,66.27
"29",2020,94.862,131.429,65.895,107.074,43.549,120.335,91.76,175.548,88.173,105.085,98.492,47.849
"30",2021,99.775,143.725,65.895,111.1,57.853,104.11,233.822,284.196,86.263,160.458,100.448,56.328
"31",2022,104.687,161.851,85.529,79.638,59.689,104.11,233.822,297.875,95.029,160.458,108.309,47.374
"32",2023,108.618,177.796,110.109,48.028,50.458,125.784,216.457,298.692,94.985,158.702,107.356,61.268
"33",2016,68.848,61.789,76.756,89.89,84.835,105.191,88.484,81.888,58.529,93.745,92.387,85.084
"34",2017,68.848,66.014,76.756,85.715,83.786,104.879,88.484,84.773,58.279,93.745,92.456,85.254
"35",2018,68.848,66.575,76.756,59.719,83.261,108.935,88.484,92.327,67.46,93.745,94.342,91.049
